booksh,150.19,4.69,0.6,4056,0.160055,0,0,0
box,156.38,18.98,0.6,4735,-1,-1,-1,-1
castle,153.4,30.21,0.81,6180,14.2042,0,0,0
corr,385.58,1,0.6,5058,-1,-1,-1,-1
graff,12.25,10000,0.02,125960,-1,-1,-1,-1
head,252.26,5.26,0.8,5633,-1,-1,-1,-1
kampa,98.44,28.87,0.6,5268,0.197405,0,0,0
Kyoto,933.02,15.63,1.01,19556,-1,-1,-1,-1
leafs,64.95,753.06,0.41,14220,16.7441,0,0,0
plant,117.6,266.33,1.04,10662,123.99,0,0,0
rotunda,15.31,69.01,0.04,1252,-1,-1,-1,-1
shout,65.11,180.84,1.01,8830,1.54238,0,0,0
valbonne,123.24,5.77,0.6,4534,-1,-1,-1,-1
wall,200.74,6.49,0.4,3133,0.0481061,0,0,0
wash,26.9,1789.4,0.05,23904,-1,-1,-1,-1
zoom,150,12.54,0.82,5372,-1,-1,-1,-1
