RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,150.59,0.494311,151,5,0,5,0.6,51.7511,50,2801,581,2987,0.185056,0.0456296,0.222758,150,0.222758,0,0,0
box,0,152.54,3.23934,153,21.78,2.65368,22,0.8,77.4846,80,4408,1317,4515,-1,-1,-1,147,-1,-1,-1,-1
castle,29,147.75,4.81449,150,24.58,7.96987,21,0.8,77.6763,80,4202,1012,4350,74.9884,31.8366,65.8247,138,140.931,0,0,0
corr,0,385.74,0.629574,386,1,0,1,0.4,57.2741,60,4486,888,4746,-1,-1,-1,384,-1,-1,-1,-1
graff,0,13.02,1.6452,12,8699.03,1960.52,10000,0.02,1.78535,1,92230,21361,107497,-1,-1,-1,10,-1,-1,-1,-1
head,0,252.83,0.377525,253,7,0,7,0.6,55.4785,60,3580,668,3737,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,99.19,2.01858,99.5,26.48,2.03246,26,0.8,88.4031,80,4525,1220,4325,0.223094,0.0964555,0.19724,96,0.43762,0,0,0
Kyoto,0,935.55,10.0558,935,15.08,2.60411,14,0.6,106.398,100,13522,2458,12929,-1,-1,-1,886,-1,-1,-1,-1
leafs,8,65.89,2.13151,67,888.76,530.212,1284,0.8,59.6921,60,8083,2771,9396,2.21217,1.40622,2.12736,63,4.07797,0,0,0
plant,1,120.11,5.10474,121,56.17,30.7121,53,0.8,93.785,80,5264,1421,4577,129.881,13.0824,132.027,88,134.694,0,0,0
rotunda,0,16,0,16,55,0,55,0.04,3.97995,4,651,13,646,-1,-1,-1,16,-1,-1,-1,-1
shout,2,70.29,3.09543,72,103.33,33.878,84,0.6,73.9454,60,4770,1219,4538,0.617873,1.74083,0.284817,65,17.632,0,0,0
valbonne,0,123.98,0.347574,124,4.41,0.494311,4,0.4,48.6803,40,2544,503,2203,-1,-1,-1,123,-1,-1,-1,-1
wall,42,201,0,201,7,0,7,0.6,65.278,60,4030,729,3635,0.064991,0.0110163,0.0721667,201,0.0721667,0,0,0
wash,0,24.91,1.28782,24,2352.35,554.038,2457,0.03,3.63128,4,15938,3412,16357,-1,-1,-1,24,-1,-1,-1,-1
zoom,0,150,0,150,7,0,7,0.81,51.4728,41,2992,685,2609,-1,-1,-1,150,-1,-1,-1,-1
