booksh,150.59,5,0.6,2801,0.185056,0,0,0
box,152.54,21.78,0.8,4408,-1,-1,-1,-1
castle,147.75,24.58,0.8,4202,74.9884,0,0,0
corr,385.74,1,0.4,4486,-1,-1,-1,-1
graff,13.02,8699.03,0.02,92230,-1,-1,-1,-1
head,252.83,7,0.6,3580,-1,-1,-1,-1
kampa,99.19,26.48,0.8,4525,0.223094,0,0,0
Kyoto,935.55,15.08,0.6,13522,-1,-1,-1,-1
leafs,65.89,888.76,0.8,8083,2.21217,0,0,0
plant,120.11,56.17,0.8,5264,129.881,0,0,0
rotunda,16,55,0.04,651,-1,-1,-1,-1
shout,70.29,103.33,0.6,4770,0.617873,0,0,0
valbonne,123.98,4.41,0.4,2544,-1,-1,-1,-1
wall,201,7,0.6,4030,0.064991,0,0,0
wash,24.91,2352.35,0.03,15938,-1,-1,-1,-1
zoom,150,7,0.81,2992,-1,-1,-1,-1
