RAM 15.6 GB
Intel Core i7
OS type 64 bit
8 CPUs
Fundamental_estimator_Uniform_sampler
Runs for each image = 100
Threshold for each image = 2
Desired probability for each image = 0.95
Standard LO = 0
Graph Cut LO = 1
SPRT = 1


Filename,GT Inl,Avg num inl/gt,Std dev num inl,Med num inl,Avg num iters,Std dev num iters,Med num iters,Avg num LO iters,Std dev num LO iters,Med num LO iters,Avg time (mcs),Std dev time,Med time,Avg err,Std dev err,Med err,Worst case num Inl,Worst case Err,Num fails (<10%),Num fails (<25%),Num fails (<50%)
booksh,149,150.07,1.0076,150,5.16,0.54532,5,0.41,53.2223,41,3874,612,3759,0.156274,0.0354939,0.151208,148,0.262832,0,0,0
box,0,159.01,8.00315,161,17.49,4.95127,17,0.4,65.155,60,4851,1061,4703,-1,-1,-1,131,-1,-1,-1,-1
castle,29,147.03,4.93074,150,34.17,7.85867,32,0.6,57.1622,60,4905,1309,4905,78.0495,43.2957,68.4133,133,401.408,0,0,0
corr,0,385.79,0.555868,386,1,0,1,0.4,50.1424,40,5572,804,5005,-1,-1,-1,384,-1,-1,-1,-1
graff,0,12.23,0.802206,12,9940.34,343.13,10000,0.01,1.45043,1,107192,5967,107150,-1,-1,-1,11,-1,-1,-1,-1
head,0,252.47,0.501614,252,6.09,0.900001,6,0.6,74.4676,80,6103,1312,6259,-1,-1,-1,252,-1,-1,-1,-1
kampa,2,93.32,10.2926,98,34,5.24164,34,0.8,92.618,100,5767,1314,5946,0.565348,0.603144,0.180281,79,1.40249,0,0,0
Kyoto,0,932.78,12.7458,934.5,16.17,1.91778,16,1,91.0614,81,20023,2590,19492,-1,-1,-1,869,-1,-1,-1,-1
leafs,8,63.09,8.2267,67.5,1008.98,185.097,941,0.61,52.6788,41,9350,1172,9684,6.76736,4.43549,10.1672,51,12.1821,0,0,0
plant,1,115.42,11.288,122,326.95,83.7202,364,0.41,46.3733,41,5588,594,5509,120.969,34.2212,140.856,87,143.603,0,0,0
rotunda,0,12.63,1.22808,12,68.6,24.5616,56,0.04,3.21216,3,1088,211,974,-1,-1,-1,12,-1,-1,-1,-1
shout,2,67.65,1.90361,67,227.85,17.776,236,0.81,106.891,101,7694,1165,7511,1.11785,1.62296,1.03313,62,14.0556,0,0,0
valbonne,0,122.93,1.99624,123,5.12,0.84423,5,0.6,53.1645,60,3332,660,3609,-1,-1,-1,110,-1,-1,-1,-1
wall,42,200.47,0.858175,201,8.06,5.22198,6,0.61,69.479,61,5567,1011,5172,0.0503716,0.00737581,0.0482477,199,0.0721667,0,0,0
wash,0,25.2,1.74078,24,2690.71,605.174,3022,0.04,4.18805,5,17091,3980,19122,-1,-1,-1,20,-1,-1,-1,-1
zoom,0,150,0,150,9.13,5.83382,6,0.61,79.7767,81,5304,817,5271,-1,-1,-1,150,-1,-1,-1,-1
